secc,segm,anio,mes,cantidadPredios,tarifa-%TRS,tarifa-%TCB,tarifa-%TRD,energia_facturada
1.0,1.0,2017.0,1.0,234.0,0.6965811965811965,0.20512820512820512,0.03418803418803419,43268.0
1.0,1.0,2017.0,2.0,243.0,0.6831275720164609,0.205761316872428,0.037037037037037035,43191.0
1.0,1.0,2017.0,3.0,257.0,0.6976744186046512,0.20155038759689922,0.03488372093023256,48271.0
1.0,1.0,2017.0,4.0,236.0,0.690677966101695,0.2076271186440678,0.03389830508474576,43156.0
1.0,1.0,2017.0,5.0,265.0,0.690566037735849,0.21132075471698114,0.03773584905660377,49264.0
1.0,1.0,2017.0,6.0,272.0,0.6875,0.21691176470588236,0.03308823529411765,63197.0
1.0,1.0,2017.0,7.0,275.0,0.6763636363636364,0.2290909090909091,0.02909090909090909,63136.0
1.0,1.0,2017.0,8.0,263.0,0.6501901140684411,0.23954372623574144,0.04182509505703422,58740.0
1.0,1.0,2017.0,9.0,289.0,0.6608996539792388,0.23875432525951557,0.03460207612456748,63423.0
1.0,1.0,2017.0,10.0,294.0,0.6632653061224489,0.23809523809523808,0.04081632653061224,56000.0
1.0,1.0,2017.0,11.0,300.0,0.6633333333333333,0.24333333333333335,0.03666666666666667,58561.0
1.0,1.0,2017.0,12.0,342.0,0.6871345029239766,0.2222222222222222,0.03508771929824561,56005.0
1.0,2.0,2017.0,1.0,256.0,0.6953125,0.234375,0.015625,40273.0
1.0,2.0,2017.0,2.0,255.0,0.6901960784313725,0.24313725490196078,0.01568627450980392,43774.0
1.0,2.0,2017.0,3.0,257.0,0.6809338521400778,0.2490272373540856,0.01556420233463035,43956.0
1.0,2.0,2017.0,4.0,261.0,0.685823754789272,0.25287356321839083,0.011494252873563218,41496.0
1.0,2.0,2017.0,5.0,266.0,0.6691729323308271,0.2631578947368421,0.015037593984962405,43169.0
1.0,2.0,2017.0,6.0,272.0,0.673992673992674,0.26373626373626374,0.014652014652014652,53049.0
1.0,2.0,2017.0,7.0,282.0,0.6702127659574468,0.2695035460992908,0.014184397163120567,55385.0
1.0,2.0,2017.0,8.0,280.0,0.6678571428571428,0.2714285714285714,0.010714285714285714,58939.0
1.0,2.0,2017.0,9.0,287.0,0.662020905923345,0.2682926829268293,0.013937282229965157,60061.0
1.0,2.0,2017.0,10.0,292.0,0.6575342465753424,0.2671232876712329,0.017123287671232876,52139.0
1.0,2.0,2017.0,11.0,294.0,0.6418918918918919,0.28378378378378377,0.016891891891891893,52316.0
1.0,2.0,2017.0,12.0,289.0,0.6505190311418685,0.28027681660899656,0.010380622837370242,43654.0
1.0,3.0,2017.0,1.0,463.0,0.7278617710583153,0.13174946004319654,0.03023758099352052,97566.0
